date,regime_code,regime_label,overall_confidence,fast_confidence,slow_confidence,shock_flag,shock_watch_flag,transition_flag,floor_triggered,floor_reason,axis1,axis2,axis3,axis4,steepener_type,vix_zscore
1990-03-30,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,-0.954
1990-04-02,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,BearFlattener,0.258
1990-04-03,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,-0.679
1990-04-04,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,BearFlattener,-0.05
1990-04-05,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,BearFlattener,-0.373
1990-04-06,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,BearFlattener,-0.152
1990-04-09,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,0.066
1990-04-10,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,-0.181
1990-04-11,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,BearFlattener,-1.75
1990-04-12,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,-0.904
1990-04-16,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,-0.516
1990-04-17,RC-12,Slow Reflation Drift,56.5,50.0,95.0,False,False,True,True,TRANSITION_HAIRCUT,Sideways,Low,Reflation,None,Flat,-0.66
1990-04-18,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,0.271
1990-04-19,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,BearFlattener,0.184
1990-04-20,RC-12,Slow Reflation Drift,51.5,50.0,95.0,False,False,True,True,NEAREST_NEIGHBOR_VOL_RELAXED;TRANSITION_HAIRCUT,Sideways,Mid,Reflation,None,Flat,0.538
