asset,asset_class,slot,indicator_id,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
HYG,credit,Trend,TR-ADX-14,continuous,20,-0.048427769961159925,-0.03976842453387673,4803,0.31242651561533286,False,False,
HYG,credit,Trend,TR-AROONOSC-14,continuous,1,0.0007379923702094376,-0.38477391516567055,4821,0.9603153699779424,False,False,
HYG,credit,Trend,TR-AROONOSC-14,continuous,5,-0.03870472641398928,-0.31159230985312586,4817,0.12516945992915435,False,False,
HYG,credit,Trend,TR-AROONOSC-14,continuous,10,-0.07294268289194417,-0.27111544833164875,4812,0.02487165587169698,False,False,
HYG,credit,Trend,TR-AROONOSC-14,continuous,20,-0.10679895852399698,-0.2750737630448704,4802,0.007465494079862954,True,False,
HYG,credit,Trend,TR-EMACROSS-50-200,discrete,1,-4.155612369688338e-05,,901,,,False,"bull:n=3735,mean=0.00019,hit=0.54190 | bear:n=901,mean=0.00023,hit=0.50055"
HYG,credit,Trend,TR-EMACROSS-50-200,discrete,5,-0.000585320211147543,,901,,,False,"bull:n=3731,mean=0.00089,hit=0.59984 | bear:n=901,mean=0.00148,hit=0.55050"
HYG,credit,Trend,TR-EMACROSS-50-200,discrete,10,-0.0009430128336063578,,901,,,False,"bull:n=3726,mean=0.00183,hit=0.62453 | bear:n=901,mean=0.00277,hit=0.58824"
HYG,credit,Trend,TR-EMACROSS-50-200,discrete,20,0.0003760509214577072,,901,,,False,"bull:n=3716,mean=0.00415,hit=0.67008 | bear:n=901,mean=0.00377,hit=0.57270"
HYG,credit,Trend,TR-MACD-CROSS-12-26-9,discrete,1,0.0003703618755015322,,2349,,,False,"bull:n=2349,mean=0.00038,hit=0.53768 | bear:n=2453,mean=0.00001,hit=0.52792"
HYG,credit,Trend,TR-MACD-CROSS-12-26-9,discrete,5,0.0010110140443213209,,2349,,,False,"bull:n=2349,mean=0.00146,hit=0.59728 | bear:n=2449,mean=0.00045,hit=0.57575"
HYG,credit,Trend,TR-MACD-CROSS-12-26-9,discrete,10,0.0008204083390784907,,2344,,,False,"bull:n=2344,mean=0.00232,hit=0.61903 | bear:n=2449,mean=0.00150,hit=0.60719"
HYG,credit,Trend,TR-MACD-CROSS-12-26-9,discrete,20,-0.001044364986466957,,2339,,,False,"bull:n=2339,mean=0.00330,hit=0.61821 | bear:n=2444,mean=0.00435,hit=0.66244"
HYG,credit,Trend,TR-MACDH-12-26-9,continuous,1,0.005221321949189698,-0.37001544318429247,4802,0.746873769676037,False,False,
HYG,credit,Trend,TR-MACDH-12-26-9,continuous,5,0.0022782030537387607,-0.1863858321389698,4798,0.9354418213395191,False,False,
HYG,credit,Trend,TR-MACDH-12-26-9,continuous,10,-0.01570309290491363,-0.1500408544520463,4793,0.6662962822118083,False,False,
HYG,credit,Trend,TR-MACDH-12-26-9,continuous,20,-0.05122277852412429,-0.1567319222482617,4783,0.2444838055828843,False,False,
HYG,credit,Trend,TR-PSAR-CROSS,discrete,1,0.00026469247433751693,,1892,,,False,"bull:n=2942,mean=0.00029,hit=0.53977 | bear:n=1892,mean=0.00003,hit=0.52273"
HYG,credit,Trend,TR-PSAR-CROSS,discrete,5,0.0006563814132775793,,1890,,,False,"bull:n=2940,mean=0.00122,hit=0.60204 | bear:n=1890,mean=0.00056,hit=0.56508"
HYG,credit,Trend,TR-PSAR-CROSS,discrete,10,-0.0002045831242430884,,1890,,,False,"bull:n=2935,mean=0.00183,hit=0.62487 | bear:n=1890,mean=0.00204,hit=0.59630"
HYG,credit,Trend,TR-PSAR-CROSS,discrete,20,-0.0037213441782510547,,1890,,,False,"bull:n=2925,mean=0.00235,hit=0.63214 | bear:n=1890,mean=0.00607,hit=0.65344"
HYG,credit,Trend,TR-QSTICK-10,continuous,1,-0.006313491655642818,-0.36893209750798184,4826,0.6962913905832794,False,False,
HYG,credit,Trend,TR-QSTICK-10,continuous,5,-0.024687517293815853,-0.23943611898609668,4822,0.3584272506864774,False,False,
HYG,credit,Trend,TR-QSTICK-10,continuous,10,-0.03731977415425393,-0.17997140407079906,4817,0.2700632402595825,False,False,
HYG,credit,Trend,TR-QSTICK-10,continuous,20,-0.059073633695584146,-0.16713870602235895,4807,0.15598843633580114,False,False,
HYG,credit,Trend,TR-SUPERT-10-3,discrete,1,0.00024040025104935198,,1620,,,False,"bull:n=3215,mean=0.00027,hit=0.53904 | bear:n=1620,mean=0.00003,hit=0.52160"
HYG,credit,Trend,TR-SUPERT-10-3,discrete,5,0.00028224077478924004,,1620,,,False,"bull:n=3211,mean=0.00105,hit=0.59857 | bear:n=1620,mean=0.00077,hit=0.56543"
HYG,credit,Trend,TR-SUPERT-10-3,discrete,10,-0.00015481778847334458,,1620,,,False,"bull:n=3206,mean=0.00186,hit=0.61946 | bear:n=1620,mean=0.00202,hit=0.60247"
HYG,credit,Trend,TR-SUPERT-10-3,discrete,20,-0.0033672279417247993,,1620,,,False,"bull:n=3196,mean=0.00268,hit=0.64174 | bear:n=1620,mean=0.00604,hit=0.63827"
HYG,credit,Trend,TR-TRIX-15,continuous,1,0.006041795087370784,-0.9382650793896781,4792,0.7183257519547797,False,False,
HYG,credit,Trend,TR-TRIX-15,continuous,5,-0.010462196066663427,-0.5355889729272688,4788,0.7267568418029351,False,False,
HYG,credit,Trend,TR-TRIX-15,continuous,10,-0.05549387815678237,-0.41234014120236406,4783,0.16416747690775157,False,False,
HYG,credit,Trend,TR-TRIX-15,continuous,20,-0.03464894114581138,-0.28696077455749514,4773,0.526711850591711,False,False,
HYG,credit,Trend,TR-VORTEX-14,continuous,1,-0.0032686571264385817,-0.5653967335381733,4821,0.8276075067643887,False,False,
HYG,credit,Trend,TR-VORTEX-14,continuous,5,-0.04145996383393408,-0.40346099429718063,4817,0.10582982614276447,False,False,
HYG,credit,Trend,TR-VORTEX-14,continuous,10,-0.06686518533717423,-0.3225605959888586,4812,0.04466200374746222,False,False,
HYG,credit,Trend,TR-VORTEX-14,continuous,20,-0.1026521361571964,-0.30707356859783197,4802,0.017042646689968653,True,False,
HYG,credit,Volatility,VO-ATRRATIO-14,continuous,1,0.05188919896056056,0.8073192272290645,4822,0.0006042649729599777,True,False,
