Date,walk_forward,frozen_oos,in_sample,ew_buyhold
2024-02-05,0.9929684392574903,0.9929684392574903,0.9970516463593262,0.9968343354591992
2024-02-06,0.9957082749495154,0.9957082749495154,1.0016251865247212,1.0056231177709671
2024-02-07,0.9987492484955359,0.9987492484955359,1.0064531362230968,1.0116098834896206
2024-02-08,1.0026821180265384,1.0026821180265384,1.0111970560173127,1.0174533237581165
2024-02-09,1.00408587321264,1.00408587321264,1.014379717365004,1.0243469441662365
2024-02-12,1.0043664904054133,1.0043664904054133,1.0180353069080676,1.0355473943795859
2024-02-13,1.0027918473939204,1.0027918473939204,1.017197584774971,1.0302342023432165
2024-02-14,1.0027550520827517,1.0027550520827517,1.0186187926996677,1.0400701209474545
2024-02-15,1.0094246384862307,1.0094246384862307,1.027844508917668,1.0506341844534188
2024-02-16,1.0127651291466413,1.0127651291466413,1.0324320540103218,1.0563904291150117
2024-02-20,1.0113631107422554,1.0113631107422554,1.034176822494265,1.061494752896751
2024-02-21,1.0104339564035643,1.0104339564035643,1.0321838370745402,1.0578087414373483
2024-02-22,1.0180797974417883,1.0180797974417883,1.039875997776789,1.0659613071429104
2024-02-23,1.0177621167758557,1.0177621167758557,1.0384498828281585,1.0632844949023907
2024-02-26,1.0161896571424542,1.0161896571424542,1.0416616219316666,1.0752428140986319
2024-02-27,1.0175170741330613,1.0175170741330613,1.044579065420142,1.0836710514565546
2024-02-28,1.0160836861161204,1.0160836861161204,1.0477137652417345,1.0935358355606577
2024-02-29,1.0192687406359835,1.0192687406359835,1.0496350058788297,1.0935662802983004
2024-03-01,1.0265038154404333,1.0265038154404333,1.0594932035688447,1.1093765633013444
2024-03-04,1.0364012461067564,1.0364012461067564,1.0741764107313831,1.1284681239816496
2024-03-05,1.032266128890179,1.032266128890179,1.0685993960649924,1.115462562987838
2024-03-06,1.0384947701768572,1.0384947701768572,1.0779458184859454,1.134092731604464
2024-03-07,1.040574113110478,1.040574113110478,1.0813638689592364,1.1403806773856264
2024-03-08,1.0429072933435033,1.0429072933435033,1.085474928272634,1.1422301602501204
2024-03-11,1.0444369561739006,1.0444369561739006,1.088093195410897,1.1532435198871618
2024-03-12,1.0455619730045893,1.0455619730045893,1.0891815841220536,1.1522974267278814
2024-03-13,1.047515971950608,1.047515971950608,1.0929957971107298,1.1594145879328328
2024-03-14,1.0464289209042092,1.0464289209042092,1.0918142988612933,1.1525002683194563
2024-03-15,1.0394814816374072,1.0394814816374072,1.0811485454788055,1.1411094176419019
2024-03-18,1.044074622844819,1.044074622844819,1.0863861652789708,1.1380847947740311
2024-03-19,1.0372818723287718,1.0372818723287718,1.0756782473935596,1.1173799940550735
2024-03-20,1.044733864128121,1.044733864128121,1.0859074786686769,1.1405372119980843
2024-03-21,1.0516471049852012,1.0516471049852012,1.0957167658373017,1.142433438664812
2024-03-22,1.047328502942229,1.047328502942229,1.08933351710364,1.1314614313615325
2024-03-25,1.0512245097441129,1.0512245097441129,1.0967633771609984,1.1498007154907084
2024-03-26,1.050931021606207,1.050931021606207,1.0965349518695722,1.1486382847764827
2024-03-27,1.0514553599499423,1.0514553599499423,1.096831649127233,1.147635385098358
2024-03-28,1.051799671746159,1.051799671746159,1.0988182398533461,1.1538668820694433
2024-04-01,1.0527477420597688,1.0527477420597688,1.0991821401974804,1.1529734901957622
2024-04-02,1.0505894645108504,1.0505894645108504,1.0984661172216825,1.1429640507199756
2024-04-03,1.048121814450751,1.048121814450751,1.0963282975011055,1.1479209557954462
2024-04-04,1.050293350918782,1.050293350918782,1.0988721560823538,1.1533593730947853
