asset,asset_class,indicator,indicator_type,horizon,ic_or_spread,ic_ir,n_obs,p_value,survives_fdr,low_confidence,note
^GSPC,equity,CMO_14,continuous,20,-0.014673564767662519,-0.33313798920731874,24706,0.4426754983493483,False,False,
^GSPC,equity,DX_14,continuous,1,0.008878435193111765,-0.10380183631202816,24725,0.16669218723166368,False,False,
^GSPC,equity,DX_14,continuous,5,0.02510219991566564,-0.04580955710105678,24721,0.019399846634571227,False,False,
^GSPC,equity,DX_14,continuous,10,0.02525562460997461,-0.03762075177119251,24716,0.05826812447587465,False,False,
^GSPC,equity,DX_14,continuous,20,0.02598547895293392,-0.03853904159949076,24706,0.10216929073605896,False,False,
^GSPC,equity,MFI_14,continuous,1,0.0014497357987438059,-0.35932707933309116,24725,0.8207221502781015,False,False,
^GSPC,equity,MFI_14,continuous,5,-0.003087713874475367,-0.20931518862005533,24721,0.7914305711998865,False,False,
^GSPC,equity,MFI_14,continuous,10,0.0029540402030618492,-0.15213532855611397,24716,0.8533132424612608,False,False,
^GSPC,equity,MFI_14,continuous,20,0.010162738715780282,-0.1335746078489986,24706,0.6369100091473805,False,False,
^GSPC,equity,MOM_10,continuous,1,-0.005036478016833938,-0.4049572735923812,24729,0.44300824583796816,False,False,
^GSPC,equity,MOM_10,continuous,5,-0.014967617096901743,-0.26913901911216953,24725,0.16002239101861226,False,False,
^GSPC,equity,MOM_10,continuous,10,-0.010045340145880868,-0.21687947766535823,24720,0.44959405637077643,False,False,
^GSPC,equity,MOM_10,continuous,20,-0.013095941891031306,-0.23542076844003632,24710,0.39725026173069655,False,False,
^GSPC,equity,NATR_14,continuous,1,-0.007083178552610914,0.48243506370425615,24725,0.298229952523389,False,False,
^GSPC,equity,NATR_14,continuous,5,0.0015017225524185985,0.27887021716360094,24721,0.9036635310600816,False,False,
^GSPC,equity,NATR_14,continuous,10,0.008905724944490372,0.199186802115779,24716,0.6008803968395475,False,False,
^GSPC,equity,NATR_14,continuous,20,0.007833385700419677,0.15063474805974486,24706,0.7394736549248138,False,False,
^GSPC,equity,OBV,continuous,1,0.01016092039112364,-0.7480772031281512,24739,0.12566085976979754,False,False,
^GSPC,equity,OBV,continuous,5,0.014378788283803241,-0.4019938394838678,24735,0.23996610443819166,False,False,
^GSPC,equity,OBV,continuous,10,0.018110224652530458,-0.2917602247694173,24730,0.2878259039416291,False,False,
^GSPC,equity,OBV,continuous,20,0.03196501552436394,-0.2115613563483307,24720,0.17723118726122866,False,False,
^GSPC,equity,PPO_12_26,continuous,1,0.0049852912232666476,-0.5662104482598023,24714,0.4738547328116153,False,False,
^GSPC,equity,PPO_12_26,continuous,5,-0.00913720234197575,-0.3361750825270774,24710,0.4553264064014385,False,False,
^GSPC,equity,PPO_12_26,continuous,10,-0.01750818553049862,-0.24820832725804437,24705,0.2844924298935979,False,False,
^GSPC,equity,PPO_12_26,continuous,20,-0.03027513955865352,-0.21122024920478968,24695,0.146801499113134,False,False,
^GSPC,equity,ROC_10,continuous,1,0.002415515757786474,-0.4014607557375663,24729,0.7260179302267287,False,False,
^GSPC,equity,ROC_10,continuous,5,-0.002585034742907301,-0.26601869381712084,24725,0.8258204737509982,False,False,
^GSPC,equity,ROC_10,continuous,10,0.002751807493007477,-0.21386526932443733,24720,0.8533033815489133,False,False,
^GSPC,equity,ROC_10,continuous,20,-0.010479292488715689,-0.2320453444144713,24710,0.551907836335418,False,False,
^GSPC,equity,RSI_14,continuous,1,0.011162448925770679,-0.6468637686055742,24725,0.08565636163394169,False,False,
^GSPC,equity,RSI_14,continuous,5,-0.0034927386565848095,-0.4625448812436331,24721,0.7574153650487168,False,False,
^GSPC,equity,RSI_14,continuous,10,-0.0049711271427032265,-0.3726336687863558,24716,0.736684622173897,False,False,
^GSPC,equity,RSI_14,continuous,20,-0.01467357101280339,-0.33314053279006556,24706,0.4426753010274821,False,False,
^GSPC,equity,STOCHF_K_14,continuous,1,0.010338974828703012,-0.26912494578018903,24724,0.10870393820653393,False,False,
^GSPC,equity,STOCHF_K_14,continuous,5,-0.0020144258945524345,-0.25394469937320346,24720,0.8546965091565567,False,False,
^GSPC,equity,STOCHF_K_14,continuous,10,0.005660549162441435,-0.20647587565327644,24715,0.6843989627070106,False,False,
^GSPC,equity,STOCHF_K_14,continuous,20,-0.0008204912287629554,-0.2247057723068853,24705,0.9608439097201851,False,False,
^GSPC,equity,STOCH_K_14,continuous,1,-0.004696416881378641,-0.493482017250614,24722,0.46986347200679357,False,False,
^GSPC,equity,STOCH_K_14,continuous,5,-0.011187300834644517,-0.2843134541710307,24718,0.32819410134035676,False,False,
^GSPC,equity,STOCH_K_14,continuous,10,0.003476089231029827,-0.21122462709568043,24713,0.8110303805349572,False,False,
^GSPC,equity,STOCH_K_14,continuous,20,-0.004918603196753981,-0.22290533985115593,24703,0.7809167096959553,False,False,
^GSPC,equity,ULTOSC,continuous,1,-0.000739053692037322,-0.40650681091623236,24711,0.9098311711860964,False,False,
^GSPC,equity,ULTOSC,continuous,5,-0.006856386950331776,-0.29547957500805644,24707,0.5408337242764183,False,False,
^GSPC,equity,ULTOSC,continuous,10,0.0033786515354050748,-0.22864689746190023,24702,0.8122724508918964,False,False,
^GSPC,equity,ULTOSC,continuous,20,0.0060322621701563274,-0.22446359648380762,24692,0.7260496563139189,False,False,
^GSPC,equity,WILLR_14,continuous,1,0.010451151883716281,-0.26536021875187527,24726,0.1049568579984173,False,False,
^GSPC,equity,WILLR_14,continuous,5,-0.0021467833211004945,-0.2548190550875992,24722,0.845266624021915,False,False,
^GSPC,equity,WILLR_14,continuous,10,0.0057029991393012375,-0.20695059877591646,24717,0.6821995128313696,False,False,
^GSPC,equity,WILLR_14,continuous,20,-0.0005931890677526654,-0.2253838119377243,24707,0.9716873676358346,False,False,
^GSPC,equity,EMA_50_200_CROSS,discrete_cross,1,0.0003515249577482051,,7349,,,False,ema50>ema200: n=17191 mean=0.00034 hit=0.53743 | ema50<=ema200: n=7349 mean=-0.00001 hit=0.49313
^GSPC,equity,EMA_50_200_CROSS,discrete_cross,5,0.0017568727138310917,,7349,,,False,ema50>ema200: n=17187 mean=0.00171 hit=0.57957 | ema50<=ema200: n=7349 mean=-0.00004 hit=0.52130
^GSPC,equity,EMA_50_200_CROSS,discrete_cross,10,0.0036594085557223413,,7349,,,False,ema50>ema200: n=17182 mean=0.00347 hit=0.60139 | ema50<=ema200: n=7349 mean=-0.00019 hit=0.53000
^GSPC,equity,EMA_50_200_CROSS,discrete_cross,20,0.006505406561056941,,7349,,,False,ema50>ema200: n=17172 mean=0.00670 hit=0.62695 | ema50<=ema200: n=7349 mean=0.00019 hit=0.54048
^GSPC,equity,MACD_SIGNAL_CROSS,discrete_cross,1,0.0003430446615213597,,12034,,,False,macd>signal: n=12672 mean=0.00041 hit=0.52494 | macd<signal: n=12034 mean=0.00007 hit=0.52435
^GSPC,equity,MACD_SIGNAL_CROSS,discrete_cross,5,0.0003380901559552271,,12030,,,False,macd>signal: n=12672 mean=0.00139 hit=0.57229 | macd<signal: n=12030 mean=0.00106 hit=0.55345
^GSPC,equity,MACD_SIGNAL_CROSS,discrete_cross,10,0.000648632741779303,,12025,,,False,macd>signal: n=12672 mean=0.00277 hit=0.59217 | macd<signal: n=12025 mean=0.00213 hit=0.56923
^GSPC,equity,MACD_SIGNAL_CROSS,discrete_cross,20,-6.477389995296519e-05,,12015,,,False,macd>signal: n=12672 mean=0.00487 hit=0.60551 | macd<signal: n=12015 mean=0.00494 hit=0.59933
^GSPC,equity,SAR_PRICE_CROSS,discrete_cross,1,0.00017155935007013727,,10495,,,False,close>sar: n=14243 mean=0.00032 hit=0.52398 | close<sar: n=10495 mean=0.00015 hit=0.52539
^GSPC,equity,SAR_PRICE_CROSS,discrete_cross,5,0.00017885234372541875,,10495,,,False,close>sar: n=14239 mean=0.00130 hit=0.56963 | close<sar: n=10495 mean=0.00112 hit=0.55322
^GSPC,equity,SAR_PRICE_CROSS,discrete_cross,10,9.961574896715604e-05,,10495,,,False,close>sar: n=14234 mean=0.00249 hit=0.58683 | close<sar: n=10495 mean=0.00239 hit=0.57218
^GSPC,equity,SAR_PRICE_CROSS,discrete_cross,20,-0.0002628382226992883,,10489,,,False,close>sar: n=14230 mean=0.00478 hit=0.60963 | close<sar: n=10489 mean=0.00505 hit=0.59253
^GSPC,equity,RSI_14_THRESHOLD,discrete_threshold,1,0.0006595468132628752,,902,,,False,oversold<30: n=902 mean=0.00099 hit=0.52106 | overbought>70: n=2595 mean=0.00033 hit=0.52755
^GSPC,equity,RSI_14_THRESHOLD,discrete_threshold,5,0.0013882200920614439,,902,,,False,oversold<30: n=902 mean=0.00325 hit=0.56984 | overbought>70: n=2595 mean=0.00186 hit=0.59961
^GSPC,equity,RSI_14_THRESHOLD,discrete_threshold,10,-0.0016213992549105765,,902,,,False,oversold<30: n=902 mean=0.00236 hit=0.53437 | overbought>70: n=2595 mean=0.00398 hit=0.61965
^GSPC,equity,RSI_14_THRESHOLD,discrete_threshold,20,-0.0018338121911111388,,902,,,False,oversold<30: n=902 mean=0.00664 hit=0.58647 | overbought>70: n=2594 mean=0.00847 hit=0.65690
^HSI,equity,AD,continuous,1,-0.02578094518620308,-0.3973000396773368,9744,0.013881726345136155,True,False,
^HSI,equity,AD,continuous,5,-0.05467292097433273,-0.21548219087828016,9740,0.0049219112584921116,True,False,
^HSI,equity,AD,continuous,10,-0.07405638419263713,-0.1547890137619517,9735,0.005477821755177501,True,False,
^HSI,equity,AD,continuous,20,-0.10805953718910795,-0.10670643363418629,9725,0.0031692463377115568,True,False,
^HSI,equity,ADOSC_3_10,continuous,1,0.0014377929906819356,-0.2497932366378952,9735,0.8876141500258511,False,False,
^HSI,equity,ADOSC_3_10,continuous,5,0.004565212019614314,-0.12098308052360242,9731,0.7920983096503253,False,False,
^HSI,equity,ADOSC_3_10,continuous,10,0.0029341730215685256,-0.09229092283840636,9726,0.8922074666565531,False,False,
^HSI,equity,ADOSC_3_10,continuous,20,0.002073924555870573,-0.08265870667386854,9716,0.9364607434148848,False,False,
^HSI,equity,ADXR_14,continuous,1,0.012361360847848052,-0.04686967239031384,9704,0.24493405167293403,False,False,
^HSI,equity,ADXR_14,continuous,5,0.021532740586094022,-0.032394789595038616,9700,0.2770430084430495,False,False,
^HSI,equity,ADXR_14,continuous,10,0.025851051158901666,-0.029271928904519316,9695,0.33549529938802936,False,False,
^HSI,equity,ADXR_14,continuous,20,0.022102840707545476,-0.02115012538255106,9685,0.5302396548916605,False,False,
^HSI,equity,ADX_14,continuous,1,0.01816384500236416,0.00019788750007329663,9717,0.08706060832581614,False,False,
^HSI,equity,ADX_14,continuous,5,0.03638342786422416,-0.0015954560773167566,9713,0.06616872662032276,False,False,
^HSI,equity,ADX_14,continuous,10,0.03916023184325603,-0.012594412193196913,9708,0.14023826315255505,False,False,
^HSI,equity,ADX_14,continuous,20,0.02543201311018766,-0.024542834482644275,9698,0.4618305720280711,False,False,
^HSI,equity,APO_12_26,continuous,1,0.007225294292623639,-0.5433419602096572,9719,0.5044932711747458,False,False,
^HSI,equity,APO_12_26,continuous,5,-0.00815829258088519,-0.31616577617835134,9715,0.6739963391555476,False,False,
^HSI,equity,APO_12_26,continuous,10,-0.02002607200747943,-0.25593626002282444,9710,0.43167048256941976,False,False,
^HSI,equity,APO_12_26,continuous,20,-0.036484816183048115,-0.2268701913788745,9700,0.2503856257604784,False,False,
^HSI,equity,AROONOSC_14,continuous,1,-0.0011726904577882918,-0.44259030343138833,9730,0.9092810347443642,False,False,
^HSI,equity,AROONOSC_14,continuous,5,-0.017169519927787896,-0.2811695909249557,9726,0.3499500140844942,False,False,
^HSI,equity,AROONOSC_14,continuous,10,-0.0140217655074483,-0.21543875059257453,9721,0.5507107347128142,False,False,
^HSI,equity,AROONOSC_14,continuous,20,-0.03541148319311737,-0.2419472958957321,9711,0.20672585565546642,False,False,
^HSI,equity,ATR_RATIO_14,continuous,1,-0.017499532560369863,0.4534529674164234,9730,0.10154292376944322,False,False,
^HSI,equity,ATR_RATIO_14,continuous,5,-0.029099812465257675,0.2299049540629779,9726,0.1398625399085408,False,False,
^HSI,equity,ATR_RATIO_14,continuous,10,-0.05085295549640926,0.15163459023087633,9721,0.05877439910324725,False,False,
^HSI,equity,ATR_RATIO_14,continuous,20,-0.05816941654460366,0.11774602838716575,9711,0.12013393972764724,False,False,
^HSI,equity,BBANDS_PCTB_20_2,continuous,1,0.027650185699659335,-0.31518803162307024,9725,0.005992282653470366,True,False,
^HSI,equity,BBANDS_PCTB_20_2,continuous,5,0.01573125835894711,-0.26939214942821893,9721,0.37508458761648367,False,False,
^HSI,equity,BBANDS_PCTB_20_2,continuous,10,0.012220488434127394,-0.22877495933268238,9716,0.5926295831753083,False,False,
^HSI,equity,BBANDS_PCTB_20_2,continuous,20,-0.009925600341977495,-0.24776985371941562,9706,0.7160455008639671,False,False,
