asset,asset_class,indicator,slot,horizon,ic,ic_ir,n_obs,p_value,note,survives_fdr,cutoff
^GSPC,equity,MO-cci,momentum,10,-0.0097522507706013,-0.2145619382953709,24092,0.4783957617776012,,False,2023-12-31
^GSPC,equity,MO-cci,momentum,20,-0.0118445733078889,-0.2290671909290262,24082,0.4556176569346196,,False,2023-12-31
^GSPC,equity,MO-cfo,momentum,1,0.0340441740563304,0.2782716654058818,24106,1.042317972777762e-06,,True,2023-12-31
^GSPC,equity,MO-cfo,momentum,5,0.0108626209542941,0.0727041385718473,24102,0.2629171588567554,,False,2023-12-31
^GSPC,equity,MO-cfo,momentum,10,-0.0033706424035655,0.0488163537845712,24097,0.7195606345398311,,False,2023-12-31
^GSPC,equity,MO-cfo,momentum,20,0.0068484519579362,0.0820693910702194,24087,0.4170075612141023,,False,2023-12-31
^GSPC,equity,MO-cg,momentum,1,0.0121046898964269,0.4421377772326664,24105,0.0845393448601884,,False,2023-12-31
^GSPC,equity,MO-cg,momentum,5,0.0157191556690353,0.2462658402407284,24101,0.1934587743807209,,False,2023-12-31
^GSPC,equity,MO-cg,momentum,10,0.0014953154803581,0.1933156261716326,24096,0.9194455722039584,,False,2023-12-31
^GSPC,equity,MO-cg,momentum,20,0.0108128476883236,0.217925737322503,24086,0.5169995832047329,,False,2023-12-31
^GSPC,equity,MO-cmo,momentum,1,0.0125554206044216,-0.6403314049056161,24100,0.0563984046255162,,False,2023-12-31
^GSPC,equity,MO-cmo,momentum,5,-0.0020980999946286,-0.4629153681637705,24096,0.8545655934168359,,False,2023-12-31
^GSPC,equity,MO-cmo,momentum,10,-0.0043954221171889,-0.3715596306604989,24091,0.7692174105220235,,False,2023-12-31
^GSPC,equity,MO-cmo,momentum,20,-0.0155020205551409,-0.3324685206107308,24081,0.422298780671047,,False,2023-12-31
^GSPC,equity,MO-coppock,momentum,1,0.0011144665329481,-0.5880650488659201,24091,0.874441548804735,,False,2023-12-31
^GSPC,equity,MO-coppock,momentum,5,-0.0030223381344824,-0.3261379938526568,24087,0.8070476826875045,,False,2023-12-31
^GSPC,equity,MO-coppock,momentum,10,-0.008115725694435,-0.2470603049669519,24082,0.619088698651763,,False,2023-12-31
^GSPC,equity,MO-coppock,momentum,20,-0.0265412099535428,-0.2294083390499512,24072,0.1980992574755774,,False,2023-12-31
^GSPC,equity,MO-crsi,momentum,1,0.0464967296921645,0.1199717640380027,24014,1.396083795535285e-13,,True,2023-12-31
^GSPC,equity,MO-crsi,momentum,5,0.0144279418793995,-0.1311116330809635,24010,0.0548373709050026,,False,2023-12-31
^GSPC,equity,MO-crsi,momentum,10,0.0093638936738001,-0.1615029500125862,24005,0.2574766699789697,,False,2023-12-31
^GSPC,equity,MO-crsi,momentum,20,0.0076656160314413,-0.196590979943381,23995,0.3633599817520886,,False,2023-12-31
^GSPC,equity,MO-cti,momentum,1,-0.0070001275788512,-0.4667542578612927,24103,0.2868442269081339,,False,2023-12-31
^GSPC,equity,MO-cti,momentum,5,-0.0109258128635849,-0.252304632788811,24099,0.3412387977498807,,False,2023-12-31
^GSPC,equity,MO-cti,momentum,10,0.0005334503751435,-0.1919372716579774,24094,0.9705579666073744,,False,2023-12-31
^GSPC,equity,MO-cti,momentum,20,-0.0075032898497517,-0.2075947135727454,24084,0.6604320852977744,,False,2023-12-31
^GSPC,equity,MO-er,momentum,1,-0.0016991079168731,-0.0692939306641092,24104,0.7919483176955217,,False,2023-12-31
^GSPC,equity,MO-er,momentum,5,-0.0001092403595609,-0.0446055131681992,24100,0.9913922372277092,,False,2023-12-31
^GSPC,equity,MO-er,momentum,10,0.006521277591453,-0.0275265701918377,24095,0.5849925735641015,,False,2023-12-31
^GSPC,equity,MO-er,momentum,20,0.0079108610360369,-0.0393462682759464,24085,0.5415597045249869,,False,2023-12-31
^GSPC,equity,MO-eri,momentum,1,-0.006679206876178,-0.4469568288214545,24102,0.3245872782513783,,False,2023-12-31
^GSPC,equity,MO-eri,momentum,5,-0.0261574516252955,-0.3232838860795538,24098,0.0183519428628869,,False,2023-12-31
^GSPC,equity,MO-eri,momentum,10,-0.0181568565967874,-0.2629170774250505,24093,0.1940498447859829,,False,2023-12-31
^GSPC,equity,MO-eri,momentum,20,-0.0200696661566876,-0.2699294847937258,24083,0.2489736573717149,,False,2023-12-31
^GSPC,equity,MO-fisher,momentum,1,-0.0095372986775534,-0.5706972857034417,24106,0.1458311986236962,,False,2023-12-31
^GSPC,equity,MO-fisher,momentum,5,-0.0118592066752078,-0.2964718809038373,24102,0.3010832922807064,,False,2023-12-31
^GSPC,equity,MO-fisher,momentum,10,0.0049666018111785,-0.2089212018120403,24097,0.7330840332328583,,False,2023-12-31
^GSPC,equity,MO-fisher,momentum,20,-0.0026300180288308,-0.214856255485805,24087,0.8817707788215216,,False,2023-12-31
^GSPC,equity,MO-inertia,momentum,1,0.0105651130563887,-0.505018337179601,24069,0.1060064843834941,,False,2023-12-31
^GSPC,equity,MO-inertia,momentum,5,0.0230602889146921,-0.2110563649153142,24065,0.0479501895796576,,False,2023-12-31
^GSPC,equity,MO-inertia,momentum,10,0.0239250691220519,-0.1528494941563064,24060,0.1199213363280236,,False,2023-12-31
^GSPC,equity,MO-inertia,momentum,20,0.0099069279150058,-0.1507154579474018,24050,0.6113620996172209,,False,2023-12-31
^GSPC,equity,MO-kst,momentum,1,0.0071838641811372,-0.7935197366443508,24070,0.3126415874293738,,False,2023-12-31
^GSPC,equity,MO-kst,momentum,5,-0.0091679071000667,-0.4589939374427906,24066,0.4658896200406109,,False,2023-12-31
^GSPC,equity,MO-kst,momentum,10,-0.0237698777656343,-0.3270626282047159,24061,0.1570516475580136,,False,2023-12-31
^GSPC,equity,MO-kst,momentum,20,-0.0293629695042174,-0.2341906371553824,24051,0.1873638731978468,,False,2023-12-31
^GSPC,equity,MO-macd,momentum,1,-0.0065523426984526,-0.3380893528794547,24081,0.3225449156924017,,False,2023-12-31
^GSPC,equity,MO-macd,momentum,5,-0.0115189398416846,-0.1630112796241138,24077,0.3077665055068646,,False,2023-12-31
^GSPC,equity,MO-macd,momentum,10,-0.0013346781923595,-0.1070544562284102,24072,0.9238594222624716,,False,2023-12-31
^GSPC,equity,MO-macd,momentum,20,-0.0121018369321512,-0.1147364294051737,24062,0.4459017781180066,,False,2023-12-31
^GSPC,equity,MO-mom,momentum,1,-0.0043310352489565,-0.4017198343687383,24104,0.5150558702885131,,False,2023-12-31
^GSPC,equity,MO-mom,momentum,5,-0.0147571963122877,-0.2667480024509266,24100,0.1714519203317391,,False,2023-12-31
^GSPC,equity,MO-mom,momentum,10,-0.0101639635406908,-0.2138629876405227,24095,0.4512632742530463,,False,2023-12-31
^GSPC,equity,MO-mom,momentum,20,-0.0152710093840957,-0.2334788752541656,24085,0.3277452493898182,,False,2023-12-31
^GSPC,equity,MO-pgo,momentum,1,0.0102335671395958,-0.371694144003162,24087,0.1202152381933615,,False,2023-12-31
^GSPC,equity,MO-pgo,momentum,5,0.000102526956128,-0.2775018161576363,24083,0.9928092469427472,,False,2023-12-31
^GSPC,equity,MO-pgo,momentum,10,0.0065645917526891,-0.2231281187966586,24078,0.6497750430892952,,False,2023-12-31
^GSPC,equity,MO-pgo,momentum,20,-0.0032181194821984,-0.2408754871956374,24068,0.8519121054219342,,False,2023-12-31
^GSPC,equity,MO-ppo,momentum,1,0.0002945999092144,-0.158846489047789,24081,0.9666093149841868,,False,2023-12-31
^GSPC,equity,MO-ppo,momentum,5,0.0099362575267303,-0.053148821171129,24077,0.4283330375176528,,False,2023-12-31
^GSPC,equity,MO-ppo,momentum,10,0.0083828451594922,-0.0319656410678489,24072,0.6008729715929727,,False,2023-12-31
^GSPC,equity,MO-ppo,momentum,20,-0.0164574722404089,-0.0588734304286397,24062,0.3742893808907744,,False,2023-12-31
^GSPC,equity,MO-psl,momentum,1,0.009514416697411,-0.3556974041532743,24103,0.1439221666837185,,False,2023-12-31
^GSPC,equity,MO-psl,momentum,5,0.0108035946113152,-0.2090197210147002,24099,0.3358800414481442,,False,2023-12-31
^GSPC,equity,MO-psl,momentum,10,0.0117884410888299,-0.168838069228032,24094,0.4203839264350665,,False,2023-12-31
^GSPC,equity,MO-psl,momentum,20,0.0010849224565431,-0.1730745180434306,24084,0.9519995681303828,,False,2023-12-31
^GSPC,equity,MO-qqe,momentum,1,0.0044907219350129,-0.6267659026111623,24043,0.5060672327938431,,False,2023-12-31
^GSPC,equity,MO-qqe,momentum,5,-0.0051014187792662,-0.3713959561807728,24039,0.666921140681721,,False,2023-12-31
^GSPC,equity,MO-qqe,momentum,10,-0.0178586894959573,-0.3037039374932171,24034,0.2612389803128196,,False,2023-12-31
^GSPC,equity,MO-qqe,momentum,20,-0.0285060213869757,-0.245063058070717,24024,0.1772964973036866,,False,2023-12-31
^GSPC,equity,MO-roc,momentum,1,0.0029087395118826,-0.3989385373402179,24104,0.6772316588234567,,False,2023-12-31
^GSPC,equity,MO-roc,momentum,5,-0.0016413456749642,-0.2638391030760629,24100,0.8903714388867168,,False,2023-12-31
^GSPC,equity,MO-roc,momentum,10,0.0036247432050465,-0.2110839181478818,24095,0.8100893273772289,,False,2023-12-31
^GSPC,equity,MO-roc,momentum,20,-0.0109261339457574,-0.2302873791875252,24085,0.5400914479101776,,False,2023-12-31
^GSPC,equity,MO-rsi,momentum,1,0.01255550348613,-0.6399628609513943,24100,0.0563967635331349,,False,2023-12-31
^GSPC,equity,MO-rsi,momentum,5,-0.0020981303897631,-0.4628922476291132,24096,0.8545635077798654,,False,2023-12-31
^GSPC,equity,MO-rsi,momentum,10,-0.0043954109028937,-0.3715374806764361,24091,0.7692179786325153,,False,2023-12-31
^GSPC,equity,MO-rsi,momentum,20,-0.0155020101226546,-0.3324726381500963,24081,0.4222990895591649,,False,2023-12-31
^GSPC,equity,MO-rsx,momentum,1,-0.0024711361710672,-0.5748562417115148,24101,0.70611003419189,,False,2023-12-31
^GSPC,equity,MO-rsx,momentum,5,-0.0077577577259787,-0.3097136206125419,24097,0.4999329084711361,,False,2023-12-31
^GSPC,equity,MO-rsx,momentum,10,-0.0052959559620047,-0.2332613501601249,24092,0.7242419250697953,,False,2023-12-31
^GSPC,equity,MO-rsx,momentum,20,-0.0196001119753408,-0.2237371289339833,24082,0.2971990651963171,,False,2023-12-31
^GSPC,equity,MO-rvgi,momentum,1,-0.0027234660799733,-0.3328448760224605,24098,0.694934961461235,,False,2023-12-31
^GSPC,equity,MO-rvgi,momentum,5,-0.0071625149564431,-0.1847399867287829,24094,0.5711608925949212,,False,2023-12-31
^GSPC,equity,MO-rvgi,momentum,10,-0.003738723226282,-0.1333803758091767,24089,0.8272247049334165,,False,2023-12-31
^GSPC,equity,MO-rvgi,momentum,20,-0.0172468104000439,-0.116521439458193,24079,0.4555524434851399,,False,2023-12-31
^GSPC,equity,MO-slope,momentum,1,0.0256801044829332,0.2173027612165492,24113,8.853581404134394e-05,,True,2023-12-31
^GSPC,equity,MO-slope,momentum,5,0.0018653709228273,-0.0872278961637616,24109,0.7639171889231047,,False,2023-12-31
^GSPC,equity,MO-slope,momentum,10,-0.003656333670619,-0.1544790229259491,24104,0.5617903290517456,,False,2023-12-31
