,BTC-USD,CHF=X,CL=F,DX-Y.NYB,ETH-USD,EURUSD=X,GC=F,HYG,LQD,SI=F,TLT,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^N225,^NDX,^STOXX50E
2025-02-03,0.0,0.16753821401864805,0.0,0.2821694480523243,0.0,0.21852181586453803,0.05143335796880336,0.0,0.0,0.06490680148209398,0.0,0.0,0.0,0.09445678043307844,0.07722564679688541,0.0,0.04374793538362853,0.0,0.0
2025-03-03,0.0,0.1556605700256845,0.0,0.11200514300771189,0.0,0.0,0.11877076778252808,0.0,0.0,0.047657014783809584,0.186497889525096,0.0,0.15458030190601083,0.11140979930203908,0.0,0.0,0.0,0.11341851366712005,0.0
2025-04-01,0.0,0.0,0.0,0.0,0.04260971281787276,0.0,0.0,0.27256720818052405,0.0,0.036321557549551776,0.15291115402034278,0.14702220739850463,0.11610027930353341,0.0,0.0,0.0,0.0,0.07497442369918406,0.15749345703048656
2025-05-01,0.025878936687491413,0.2371827027586816,0.11034397079136714,0.0,0.030852371093809186,0.18099659130775453,0.0,0.0,0.17466742438681834,0.10367604249362862,0.0,0.13640196048044917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-02,0.02795945555689361,0.0,0.07145140221535946,0.0,0.0,0.2024818946637403,0.06518111082826607,0.0,0.3340896576852817,0.0,0.189325013167623,0.0,0.0,0.03267039149955667,0.0,0.0,0.0,0.0,0.07684107438327924
2025-07-01,0.0,0.09850270938858897,0.04334512777179686,0.0,0.0,0.2713528791143635,0.0,0.0,0.17559405512159562,0.0,0.16686064720555507,0.0,0.0,0.0,0.0,0.13272972232605146,0.06714041809595266,0.0,0.04447444097609595
2025-08-01,0.0,0.0,0.034544196669209964,0.24181605166831457,0.0,0.0,0.0,0.1884474547911539,0.0,0.0,0.12438529281143795,0.0,0.0,0.0,0.0,0.07355505974215158,0.11646554356294157,0.15060731651155668,0.07017908424323374
2025-09-02,0.0,0.192096977444324,0.0,0.0,0.0,0.2307864250890168,0.0,0.0,0.0,0.0,0.0970580720086989,0.08700030061404926,0.060060839764685826,0.09583645697626464,0.0,0.0,0.0,0.12896426711808204,0.10819666098487862
2025-10-01,0.0,0.0,0.08972306379283308,0.0,0.0,0.0,0.0,0.0,0.0,0.06009621913826237,0.19478077862358828,0.0,0.06982239329909347,0.2953929706085716,0.11619674427729798,0.06794001023311452,0.10604782002723873,0.0,0.0
2025-11-03,0.0,0.11188613823946883,0.0,0.26537310657318647,0.0,0.0,0.0,0.2994066316890248,0.0,0.035273186579501646,0.0,0.0,0.051456439444079814,0.0,0.0,0.10227148800540159,0.06987949878151825,0.06445351068781861,0.0
2025-12-01,0.0,0.0,0.0605921563470796,0.19771869631369818,0.0,0.3349724640253322,0.0,0.0,0.0,0.0,0.0,0.07522122894845328,0.0,0.1159472002119538,0.0,0.07974166668232162,0.03701820457133578,0.0,0.09878838289982557
2026-01-02,0.0,0.230463459889556,0.04513111190718552,0.34307435108846873,0.0,0.19390250064811956,0.0,0.0,0.0,0.03182000569671231,0.0,0.0,0.0,0.0,0.0,0.03736887853315602,0.025722902109283956,0.09251679012751778,0.0
2026-02-02,0.0,0.12195277696501418,0.0,0.15174229247360718,0.0,0.30563125900168137,0.0,0.0,0.0,0.02354479160548691,0.0,0.0,0.10824250797203479,0.0,0.0,0.07189847111931592,0.0,0.12397626906026278,0.09301163180259686
2026-03-02,0.0,0.0,0.07598343698690249,0.0,0.04792792825861582,0.0,0.0,0.0,0.0,0.018679553940771827,0.3991109991927038,0.0,0.0,0.14771066226684426,0.0,0.10426448388375766,0.12391853132748816,0.08240440414291589,0.0
2026-04-01,0.0,0.0,0.027565189712704864,0.11964953188657516,0.027297392484439697,0.0,0.0,0.4977110226917155,0.0,0.0,0.0,0.07181060548882916,0.10565408730731976,0.0,0.0,0.0,0.0,0.06826855345885384,0.082043616969562
2026-05-01,0.048486173495997154,0.25957256206109175,0.042208903065471384,0.0,0.04064513335503281,0.0,0.0,0.30922899948246346,0.0,0.0,0.0,0.07932146092017311,0.0,0.0,0.0,0.040332944624035576,0.0,0.0,0.1802038229957348
2026-06-01,0.0,0.0,0.02751603171029069,0.0,0.07873581546332131,0.0,0.0,0.2904716822641309,0.0,0.023455317218300364,0.30308456359112723,0.0,0.0,0.13862062873336248,0.0,0.057014507701713915,0.08110145331775316,0.0,0.0
2026-07-01,0.0,0.0,0.0,0.38130601797001673,0.03326207994043423,0.0,0.027068769806520596,0.32739310210529066,0.0,0.0,0.0,0.0,0.0,0.0724964407764393,0.11143747845942224,0.021164423310687436,0.025871687631188793,0.0,0.0
