asset,asset_class,cutoff,volume_ind,trend_ind,momentum_ind,volatility_ind,n_slots,horizon,comp_ic,comp_p,comp_ic_ir,redundancy,traded_sign,is_winner,fdr_fallback_slots
BTC-USD,crypto,2023-12-31,VU-mfi,TR-vhf,MO-er,VO-rvi,4,20,0.1090275924690778,0.0370684115089998,-0.052370446310324,0.2997202144585343,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-smi,VO-rvi,4,1,0.03130753158063,0.0789660003070697,-0.4370261679449021,0.4197091172504248,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-smi,VO-rvi,4,5,0.0740021525263668,0.0221399072891043,-0.1630790282938523,0.4197091172504248,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-smi,VO-rvi,4,10,0.1018603137695984,0.0155345571117808,-0.1168308053000178,0.4197091172504248,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-smi,VO-rvi,4,20,0.1051348865527649,0.0553354697564904,-0.123135505459205,0.4197091172504248,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-tsi,VO-rvi,4,1,0.0342194285069337,0.0554495634557312,-0.4556987836871768,0.3888651462730312,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-tsi,VO-rvi,4,5,0.0743317157895436,0.0223677037215886,-0.1794296570565556,0.3888651462730312,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-tsi,VO-rvi,4,10,0.0991598642562767,0.0207912707902877,-0.1316949406163529,0.3888651462730312,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-tsi,VO-rvi,4,20,0.0988454956533921,0.0809817608413361,-0.1362913981067342,0.3888651462730312,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-kst,VO-rvi,4,1,0.0367052798211358,0.0421273433986401,-0.4642033340048127,0.3351727933271506,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-kst,VO-rvi,4,5,0.075854201677585,0.020837956192245,-0.1908249087753088,0.3351727933271506,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-kst,VO-rvi,4,10,0.0983716609031861,0.0231832182681309,-0.1422397962815066,0.3351727933271506,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-kst,VO-rvi,4,20,0.0991910111891956,0.0803587180126487,-0.1396406646113714,0.3351727933271506,1.0,True,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-brar,VO-rvi,4,1,0.0296293861690107,0.095489701408097,-0.411718218471536,0.3661004595444128,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-brar,VO-rvi,4,5,0.0697824030969508,0.0311626949531191,-0.1486366800987038,0.3661004595444128,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-brar,VO-rvi,4,10,0.0937834078889923,0.026302823678106,-0.1144433103857185,0.3661004595444128,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-brar,VO-rvi,4,20,0.092098145762673,0.0960836958544046,-0.1233345404555848,0.3661004595444128,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-er,VO-rvi,4,1,0.0427544366658929,0.0157300503390197,-0.1552060479517721,0.2597894664613371,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-er,VO-rvi,4,5,0.0882990089344447,0.0060011259247025,-0.026077694701206,0.2597894664613371,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-er,VO-rvi,4,10,0.1194394557309215,0.0038051508908059,-0.0171940115674759,0.2597894664613371,1.0,False,volatility
BTC-USD,crypto,2023-12-31,VU-mfi,TR-adx,MO-er,VO-rvi,4,20,0.1150812712544967,0.0292798649063001,-0.0567864959592206,0.2597894664613371,1.0,False,volatility
CL=F,energy,2023-12-31,VU-pvt,TR-dpo,MO-tsi,VO-ATR_RATIO,4,1,-0.0001411344886596,0.991745513551555,0.7485796017111886,0.4916527236910861,-1.0,False,"volume,trend,momentum,volatility"
CL=F,energy,2023-12-31,VU-pvt,TR-dpo,MO-tsi,VO-ATR_RATIO,4,5,0.0161489260100352,0.5306920619246072,0.4212419708094768,0.4916527236910861,1.0,False,"volume,trend,momentum,volatility"
CL=F,energy,2023-12-31,VU-pvt,TR-dpo,MO-tsi,VO-ATR_RATIO,4,10,0.0332605932626799,0.3483510874356874,0.3150945678466707,0.4916527236910861,1.0,False,"volume,trend,momentum,volatility"
CL=F,energy,2023-12-31,VU-pvt,TR-dpo,MO-tsi,VO-ATR_RATIO,4,20,0.0582192231971204,0.2319222761792231,0.2313736819262971,0.4916527236910861,1.0,True,"volume,trend,momentum,volatility"
ETH-USD,crypto,2023-12-31,VU-nvi,TR-dpo,MO-tsi,VO-rvi,4,1,-0.0015857417928788,0.9413467064102172,-0.6172448577688098,0.3181961915594558,-1.0,False,"trend,momentum,volatility"
ETH-USD,crypto,2023-12-31,VU-nvi,TR-dpo,MO-tsi,VO-rvi,4,5,0.030323045620338,0.4528371072714174,-0.2703848760493635,0.3181961915594558,1.0,False,"trend,momentum,volatility"
ETH-USD,crypto,2023-12-31,VU-nvi,TR-dpo,MO-tsi,VO-rvi,4,10,0.0576346995863236,0.2882964585588274,-0.2145153957107366,0.3181961915594558,1.0,False,"trend,momentum,volatility"
ETH-USD,crypto,2023-12-31,VU-nvi,TR-dpo,MO-tsi,VO-rvi,4,20,0.0616244799748679,0.3867417931216244,-0.1947090402357596,0.3181961915594558,1.0,True,"trend,momentum,volatility"
GC=F,metals,2023-12-31,VU-ad,TR-dpo,MO-crsi,VO-rvi,4,1,0.0445764972374568,0.0006485265242325,0.6064669610168726,0.2362848806691164,1.0,False,"trend,volatility"
GC=F,metals,2023-12-31,VU-ad,TR-dpo,MO-crsi,VO-rvi,4,5,0.0244676199564132,0.2528976506455908,0.2721537159565875,0.2362848806691164,1.0,False,"trend,volatility"
GC=F,metals,2023-12-31,VU-ad,TR-dpo,MO-crsi,VO-rvi,4,10,0.0465701408845051,0.0946023218911484,0.260877217612326,0.2362848806691164,1.0,False,"trend,volatility"
GC=F,metals,2023-12-31,VU-ad,TR-dpo,MO-crsi,VO-rvi,4,20,0.0703800080727226,0.0557244045731492,0.2144903758788088,0.2362848806691164,1.0,True,"trend,volatility"
GC=F,metals,2023-12-31,VU-ad,TR-dpo,MO-slope,VO-rvi,4,1,0.0447435821512522,0.0006333765697637,0.6130372225430647,0.2042680662361291,1.0,False,"trend,volatility"
GC=F,metals,2023-12-31,VU-ad,TR-dpo,MO-slope,VO-rvi,4,5,0.0290085643044827,0.1752294473305734,0.2785395195325368,0.2042680662361291,1.0,False,"trend,volatility"
GC=F,metals,2023-12-31,VU-ad,TR-dpo,MO-slope,VO-rvi,4,10,0.050366621930549,0.0720253423086092,0.2599628912293225,0.2042680662361291,1.0,False,"trend,volatility"
GC=F,metals,2023-12-31,VU-ad,TR-dpo,MO-slope,VO-rvi,4,20,0.0729234631825499,0.0499945267812989,0.2108679493582187,0.2042680662361291,1.0,False,"trend,volatility"
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-crsi,VO-DC_WIDTH,4,1,0.0252546946342794,0.0570510814895481,0.5637788445160812,0.0901964639419665,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-crsi,VO-DC_WIDTH,4,5,0.0380409968233694,0.1018075649209419,0.3489407681900969,0.0901964639419665,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-crsi,VO-DC_WIDTH,4,10,0.0568281801651935,0.063594106793872,0.2698048762140471,0.0901964639419665,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-crsi,VO-DC_WIDTH,4,20,0.059170818832243,0.1465992924173381,0.213929258045683,0.0901964639419665,1.0,True,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-slope,VO-DC_WIDTH,4,1,0.0213301724069277,0.1127871485065128,0.5243352858872509,0.0757167380270224,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-slope,VO-DC_WIDTH,4,5,0.0371568672241341,0.1098340597471872,0.3422191123416424,0.0757167380270224,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-slope,VO-DC_WIDTH,4,10,0.0609286922228082,0.046989756704992,0.2675695804645357,0.0757167380270224,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-slope,VO-DC_WIDTH,4,20,0.0619912731369934,0.1286360480074579,0.2136438451196856,0.0757167380270224,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-bop,VO-DC_WIDTH,4,1,0.0226478300856883,0.0864749224846096,0.5592844899070256,0.0624642596667797,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-bop,VO-DC_WIDTH,4,5,0.0336289499372346,0.1512052579435158,0.3309611854926127,0.0624642596667797,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-bop,VO-DC_WIDTH,4,10,0.057705974406757,0.0634215775207616,0.2411406045541547,0.0624642596667797,1.0,False,trend
SI=F,metals,2023-12-31,VU-ad,TR-dpo,MO-bop,VO-DC_WIDTH,4,20,0.0589046995650808,0.1546865329842056,0.1979623318276067,0.0624642596667797,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-crsi,VO-DC_WIDTH,4,1,0.0425304021968982,0.0015146194004729,0.529644738791444,0.0739932508990045,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-crsi,VO-DC_WIDTH,4,5,0.048365385274839,0.0234100329240472,0.2995452614078647,0.0739932508990045,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-crsi,VO-DC_WIDTH,4,10,0.0674163568017482,0.0125749410152337,0.2322441791644018,0.0739932508990045,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-crsi,VO-DC_WIDTH,4,20,0.0823058794643551,0.0121328511681807,0.192019860561756,0.0739932508990045,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-slope,VO-DC_WIDTH,4,1,0.0393730542482518,0.003632275604236,0.4943998611433853,0.0633974645970823,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-slope,VO-DC_WIDTH,4,5,0.0543280193190443,0.0104992971269259,0.3056132245340517,0.0633974645970823,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-slope,VO-DC_WIDTH,4,10,0.0756712815661883,0.0048937392280082,0.2369323924891287,0.0633974645970823,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-slope,VO-DC_WIDTH,4,20,0.0894969781959924,0.0065133793982501,0.1938850087237464,0.0633974645970823,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-bop,VO-DC_WIDTH,4,1,0.0388256433957923,0.0032320368971135,0.4919321658789493,0.0517222949787889,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-bop,VO-DC_WIDTH,4,5,0.0480332704421953,0.0238906111863179,0.2721006784963202,0.0517222949787889,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-bop,VO-DC_WIDTH,4,10,0.0711840313067395,0.0087751609383608,0.2002747238236669,0.0517222949787889,1.0,False,trend
SI=F,metals,2023-12-31,VU-cmf,TR-dpo,MO-bop,VO-DC_WIDTH,4,20,0.0864216121756359,0.0102201365479196,0.1773637890914149,0.0517222949787889,1.0,False,trend
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-crsi,VO-ATR_RATIO,4,1,0.0346683882224764,0.0283207027510764,0.9764100225771564,0.2297418793198346,1.0,False,volume
VEA,equity,2023-12-31,VU-pvt,TR-aroon,MO-crsi,VO-ATR_RATIO,4,5,0.0493593026905322,0.0712742112790854,0.627953512221718,0.2297418793198346,1.0,False,volume
